model,alpha,beta,ME,MAE,RMSE,RMSSE,HB_MAE,HB_RMSE
TSB,0.05,0.05,-0.4778404981272339,5.8260986649339435,17.931830460882193,4.798124200451633,5.5189845130764095,17.805408884331314
TSB,0.05,0.1,-0.6219706822543674,5.745597952160255,17.906782860891763,4.7969904407347705,5.5189845130764095,17.805408884331314
TSB,0.05,0.15,-0.7210947301010756,5.705334663644814,17.931382748705236,4.797660295217851,5.5189845130764095,17.805408884331314
TSB,0.05,0.2,-0.8172442924288378,5.672192645659957,17.973073706856432,4.798549437923325,5.5189845130764095,17.805408884331314
TSB,0.05,0.25,-0.9089051264585662,5.645499207068785,18.02484237904449,4.7994784379982445,5.5189845130764095,17.805408884331314
TSB,0.05,0.3,-0.993913004987576,5.6261412033892135,18.084806976537948,4.800440339421947,5.5189845130764095,17.805408884331314
TSB,0.1,0.05,-0.5131746452010508,5.799112512394812,17.898764764535162,4.7969686730004835,5.5189845130764095,17.805408884331314
TSB,0.1,0.1,-0.6390015203242185,5.731964839687642,17.89909300852838,4.796251590427371,5.5189845130764095,17.805408884331314
TSB,0.1,0.15,-0.732384221692218,5.694044748812282,17.920131847100272,4.796928192320982,5.5189845130764095,17.805408884331314
TSB,0.1,0.2,-0.826885676000211,5.660271334285834,17.95132841597152,4.797726969625696,5.5189845130764095,17.805408884331314
TSB,0.1,0.25,-0.9189637800837022,5.631774009185842,17.99103886408203,4.798536583069298,5.5189845130764095,17.805408884331314
TSB,0.1,0.3,-1.0056228113868546,5.609948479983651,18.03919360414173,4.799370974788476,5.5189845130764095,17.805408884331314
TSB,0.15,0.05,-0.5154489450948327,5.811426123762894,17.94988918304715,4.796783163862239,5.5189845130764095,17.805408884331314
TSB,0.15,0.1,-0.6334691805702305,5.748770422687754,17.955473639425026,4.79623766870639,5.5189845130764095,17.805408884331314
TSB,0.15,0.15,-0.7254046698884852,5.710281166425705,17.970982151412517,4.796897503269377,5.5189845130764095,17.805408884331314
TSB,0.15,0.2,-0.8206738666492681,5.674182872246145,17.99444881637519,4.79763716694979,5.5189845130764095,17.805408884331314
TSB,0.15,0.25,-0.9145947448625326,5.642748752380694,18.02659672245069,4.798378375097366,5.5189845130764095,17.805408884331314
TSB,0.15,0.3,-1.0036697914809845,5.6181312957349805,18.06819991878655,4.799145378390699,5.5189845130764095,17.805408884331314
TSB,0.2,0.05,-0.5325398432344691,5.823943066855696,18.00729713824172,4.796849072418422,5.5189845130764095,17.805408884331314
TSB,0.2,0.1,-0.6466697471424857,5.7626406494853155,18.013657775787642,4.796383876262187,5.5189845130764095,17.805408884331314
TSB,0.2,0.15,-0.7381450155031173,5.723202787007061,18.02554214656264,4.797025322460788,5.5189845130764095,17.805408884331314
TSB,0.2,0.2,-0.8342345396602984,5.685497021744221,18.044602829779983,4.797726571720009,5.5189845130764095,17.805408884331314
TSB,0.2,0.25,-0.929569959087838,5.651694803236629,18.072723798441807,4.798426990581403,5.5189845130764095,17.805408884331314
TSB,0.2,0.3,-1.020342656270487,5.624831179965325,18.1111027205975,4.799156249370916,5.5189845130764095,17.805408884331314
TSB,0.25,0.05,-0.5660103651175371,5.8311579997313165,18.06225113561731,4.797005453826836,5.5189845130764095,17.805408884331314
TSB,0.25,0.1,-0.6780844126521827,5.770078262201991,18.068441151115653,4.796577600711535,5.5189845130764095,17.805408884331314
TSB,0.25,0.15,-0.7692692513830487,5.729636433204515,18.078622567694783,4.797202811511114,5.5189845130764095,17.805408884331314
TSB,0.25,0.2,-0.8658023501365174,5.690532345791726,18.095706007041905,4.79787853959829,5.5189845130764095,17.805408884331314
TSB,0.25,0.25,-0.9619066188059686,5.655363175157861,18.122177393266416,4.798554088665747,5.5189845130764095,17.805408884331314
TSB,0.25,0.3,-1.0535832824640337,5.626998966116934,18.159461945915965,4.799262082607834,5.5189845130764095,17.805408884331314
TSB,0.3,0.05,-0.6137544480214013,5.832682405592987,18.118196007189244,4.797208919301258,5.5189845130764095,17.805408884331314
TSB,0.3,0.1,-0.7247179065803473,5.771425531575423,18.123986513572643,4.796793477864906,5.5189845130764095,17.805408884331314
TSB,0.3,0.15,-0.8154966784982052,5.730050234171706,18.13382458145158,4.797404667276409,5.5189845130764095,17.805408884331314
TSB,0.3,0.2,-0.9120016187642722,5.690122577835641,18.15054070077095,4.798063240880562,5.5189845130764095,17.805408884331314
TSB,0.3,0.25,-1.008236626216765,5.6542532848217855,18.176902895402655,4.7987239415351475,5.5189845130764095,17.805408884331314
TSB,0.3,0.3,-1.10009826475645,5.62523404728518,18.214447064486684,4.7994208856062395,5.5189845130764095,17.805408884331314
